system:index,apn_perc,area_m2,available_area_m2,cell_size_m,coast_len,elev_mean,fires_perc,grid_id,id,lat,lon,no_urbano_perc_2017,no_urbano_perc_2018,no_urbano_perc_2019,no_urbano_perc_2020,no_urbano_perc_2021,no_urbano_perc_2022,no_urbano_perc_2023,no_urbano_perc_2024,non_apn_perc,precip_mean,retama_perc_2017,retama_perc_2018,retama_perc_2019,retama_perc_2020,retama_perc_2021,retama_perc_2022,retama_perc_2023,retama_perc_2024,rivers_len,roads_len,temp_mean,urbano_perc_2017,urbano_perc_2018,urbano_perc_2019,urbano_perc_2020,urbano_perc_2021,urbano_perc_2022,urbano_perc_2023,urbano_perc_2024,.geo
0000000000000000000a,0.0480082435780085,344219.809582923,340574.2756371594,1000,0,426.0,0.0,"286,5215","286,5215",-43.18016315009158,-71.62713352713472,99.48435337637204,99.48435337637204,99.48435337637204,99.48435337637204,99.48435337637204,99.48435337637204,99.48435337637204,99.48435337637204,99.90608420361102,100.30208333333333,0.4922370036379791,0.4494340637096531,1.0700824901936983,0.5564448812917112,1.284108350291732,2.011768192479445,2.07597877848159,2.482612758461615,0,1011.6519494415124,10.14375,0.5156466236279535,0.5156466236279535,0.5156466236279535,0.5156466236279535,0.5156466236279535,0.5156466236279535,0.5156466236279535,0.5156466236279535,"{""type"":""Polygon"",""coordinates"":[[[-71.62090354714933,-43.18164247931786],[-71.6207798674002,-43.178753522653196],[-71.63307129409446,-43.17847110148614],[-71.63321389182262,-43.1817879909079],[-71.62090354714933,-43.18164247931786]]]}"
0000000000000000000b,0.0,296746.354089013,297264.7575759285,1000,0,426.0,0.0,"287,5215","287,5215",-43.18023081479712,-71.61485517364775,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96817311372217,98.98541666666667,0.0,0.0,0.1961570328431802,0.14711784264547784,0.3187552855228704,0.31875503913581765,0.31875545748050094,0.22067683839763888,293.81758453503284,410.0982574600549,10.260833435058593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.60859311593215,-43.18149562380047],[-71.60848826501285,-43.179034550549105],[-71.6207798674002,-43.178753522653196],[-71.62090354714933,-43.18164247931786],[-71.60859311593215,-43.18149562380047]]]}"
0000000000000000000c,0.0,249272.667265396,249713.41407195423,1000,0,423.30000000000007,0.0,"288,5215","288,5215",-43.180297105875084,-71.60258537719582,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.91335080214463,97.01041666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.436458587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.5962826904639,-43.181347439420705],[-71.59619648865934,-43.1793143281652],[-71.60848826501285,-43.179034550549105],[-71.60859311593215,-43.18149562380047],[-71.5962826904639,-43.181347439420705]]]}"
0000000000000000000d,0.0,201798.754907609,202134.16445402254,1000,0,399.0,0.0,"289,5215","289,5215",-43.18036201978868,-71.59033017062177,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.90228750200471,97.01041666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,260.7566539604957,10.436458587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.58397227249885,-43.181197926244494],[-71.58390454006654,-43.17959278397917],[-71.59619648865934,-43.1793143281652],[-71.5962826904639,-43.181347439420705],[-71.58397227249885,-43.181197926244494]]]}"
0000000000000000000e,0.0,154324.622809899,154584.45928063488,1000,0,399.0,0.0,"290,5215","290,5215",-43.18042547077136,-71.57810313762442,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.94730228938447,96.28993055555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.7062766174527,0,10.45078150431315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.57166177323644,-43.18104706928217],[-71.57161242096116,-43.17986991797525],[-71.58390454006654,-43.17959278397917],[-71.58397227249885,-43.181197926244494],[-71.57166177323644,-43.18104706928217]]]}"
0000000000000000000f,0.0,106850.276765743,107031.99744657634,1000,0,,0.0,"291,5215","291,5215",-43.18048729163204,-71.5659418103274,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89104174097164,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.55935137553647,-43.18089497018906],[-71.55932004251191,-43.18014571507079],[-71.57161242096116,-43.17986991797525],[-71.57166177323644,-43.18104706928217],[-71.55935137553647,-43.18089497018906]]]}"
00000000000000000010,0.0,59375.7225704875,59469.05523654716,1000,0,,0.0,"292,5215","292,5215",-43.180546735176954,-71.55400487253505,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.95241623342594,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89.87500774036543,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.54704099060109,-43.18074147101112],[-71.54702758755789,-43.1804202768595],[-71.55932004251191,-43.18014571507079],[-71.55935137553647,-43.18089497018906],[-71.54704099060109,-43.18074147101112]]]}"
00000000000000000011,0.0,13376.5088457858,13378.833365047669,1000,0,,0.0,"293,5215","293,5215",-43.180595805412786,-71.54395610757827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.86967507250219,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.843801227553726,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.5377997408121,-43.18062542402422],[-71.54702758755789,-43.1804202768595],[-71.54704099060109,-43.18074147101112],[-71.5377997408121,-43.18062542402422]]]}"
00000000000000000012,99.22766987749405,82965.0652362726,83104.16335087188,1000,0,920.0,0.0,"273,5216","273,5216",-43.166986569261745,-71.78355698148714,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.7723301225059689,105.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.844791412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.78014774685437,-43.166024112450984],[-71.78014593689883,-43.16598509845983],[-71.78581331025049,-43.16584716686263],[-71.78578480395208,-43.166018325602245],[-71.78566625392205,-43.16673298458407],[-71.7852850836052,-43.16751865668201],[-71.78480662915064,-43.16818793566902],[-71.78370573776603,-43.168775672180416],[-71.78229289900439,-43.16783912246986],[-71.78213470990676,-43.16769585153544],[-71.78203751588026,-43.167561666946064],[-71.78186747151177,-43.16732899738513],[-71.78166765342685,-43.16685942609582],[-71.7815460249665,-43.16673410800587],[-71.78113254215566,-43.16629542299851],[-71.78096177332813,-43.166250415394],[-71.78073607236443,-43.16619638541873],[-71.78014774685437,-43.166024112450984]]]}"
00000000000000000013,99.02799284421395,62955.043035664,63061.58071600217,1000,0,538.0,0.0,"274,5216","274,5216",-43.16693076217411,-71.77162209541595,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.972007155786051,105.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.844791412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPolygon"",""coordinates"":[[[[-71.7800245793563,-43.16598806666913],[-71.78014593689883,-43.16598509845983],[-71.78014774685437,-43.166024112450984],[-71.7800245793563,-43.16598806666913]]],[[[-71.76849277970487,-43.16626787848753],[-71.77428506646014,-43.16612747198297],[-71.7741986394974,-43.16621496322156],[-71.77381745559036,-43.16696034672323],[-71.7733946413844,-43.16739738816726],[-71.77313146822095,-43.16758457240605],[-71.7724833083649,-43.16789154615153],[-71.77204936090239,-43.16804257632162],[-71.77082281134984,-43.16791951722796],[-71.77043899893634,-43.16772663189313],[-71.77014061863319,-43.16752939409946],[-71.77012242801436,-43.167507083283354],[-71.76980603778306,-43.16722494731509],[-71.76978775664465,-43.16721149500343],[-71.76962983290588,-43.16701901854097],[-71.7694414103267,-43.16679526586918],[-71.7692158822919,-43.166709896224724],[-71.76866120211676,-43.16649879498351],[-71.76849277970487,-43.16626787848753]]]]}"
