WKT,id,area_m2,cell_size_m,grid_id
"POLYGON ((-71.3870056469355 -43.1786263315735,-71.3868592844914 -43.1748716112555,-71.4237373613588 -43.1740958772474,-71.4239367988907 -43.1791342570467,-71.3870056469355 -43.1786263315735))","101,1738",1463189.76610788,"3000","101,1738"
"POLYGON ((-71.3500745874777 -43.1781065204546,-71.3499797530799 -43.1756354690852,-71.3868592844914 -43.1748716112555,-71.3870056469355 -43.1786263315735,-71.3500745874777 -43.1781065204546))","102,1738",1035983.25623447,"3000","102,1738"
"POLYGON ((-71.3131436430159 -43.1775748237159,-71.3130987894992 -43.1763874494545,-71.3499797530799 -43.1756354690852,-71.3500745874777 -43.1781065204546,-71.3131436430159 -43.1775748237159))","103,1738",608772.315611717,"3000","103,1738"
"POLYGON ((-71.2789835537683 -43.1770724359117,-71.3130987894992 -43.1763874494545,-71.3131436430159 -43.1775748237159,-71.2789835537683 -43.1770724359117))","104,1738",182759.774791936,"3000","104,1738"
"POLYGON ((-71.8285006445058 -43.1475970465212,-71.8280484913323 -43.1377977849964,-71.8578747334042 -43.1370561081553,-71.8579949363451 -43.137128395407,-71.8582569536249 -43.1372806032781,-71.8585248515914 -43.1375177882076,-71.8589315385442 -43.1384431961021,-71.8591442460155 -43.1387740617369,-71.8602285904562 -43.1395170712339,-71.8607036741877 -43.1399019191803,-71.8606055994484 -43.1401029036177,-71.8604279972366 -43.1403751861975,-71.8600310835248 -43.1405311143639,-71.8594627188636 -43.1409325330884,-71.858515080241 -43.1417579513808,-71.8580200885658 -43.1420879782954,-71.8575923195882 -43.1423600213596,-71.8573355493512 -43.1425741477516,-71.8566334563003 -43.1427698921427,-71.8563772281365 -43.1427204070801,-71.8554201706699 -43.1423439122939,-71.854511334333 -43.1422310403417,-71.8534492274957 -43.1423860827853,-71.8527228778985 -43.1425147365268,-71.8521675287574 -43.1425274007212,-71.8512097346653 -43.1424859152172,-71.8505813673193 -43.1424314835408,-71.8497211941768 -43.1423455064583,-71.8488794762467 -43.142255021299,-71.8482635902742 -43.1420754983686,-71.8476232738772 -43.1419450429254,-71.8467266296827 -43.1418411150152,-71.8462995691901 -43.1418092056699,-71.8454449940736 -43.1419287155765,-71.8447545463568 -43.1423075336588,-71.8438567177707 -43.1426817003129,-71.8434534495798 -43.1428821915172,-71.8430013217179 -43.1431362722958,-71.8422682525134 -43.1434524401971,-71.8417850882216 -43.1439075315621,-71.8416138090171 -43.1440681999994,-71.8414425297197 -43.1442242842817,-71.8412973086895 -43.14374599905,-71.8407861844203 -43.1432225813184,-71.8402437529981 -43.1429537030838,-71.8399693248695 -43.1429086471062,-71.8392434871075 -43.1428093321482,-71.8385169238285 -43.1429870344285,-71.8379860701253 -43.1429907354019,-71.8362592286216 -43.1430106328948,-71.835758773081 -43.1430366994008,-71.8352581357843 -43.1431521762139,-71.8350747284289 -43.1432769747427,-71.8348908685559 -43.1435805822548,-71.834761840845 -43.1439378486425,-71.8345647703688 -43.1446077903013,-71.8344355615602 -43.1449963114787,-71.8340930855763 -43.1452906937641,-71.8337321507763 -43.1456029597282,-71.8331879880812 -43.1460176952378,-71.8328324812193 -43.1465890518904,-71.8325327114427 -43.1468745833551,-71.8316361149054 -43.1467213317204,-71.8307885578472 -43.1465056428333,-71.8299101435911 -43.1464016108972,-71.8292685232336 -43.1467312526011,-71.8285006445058 -43.1475970465212))","89,1739",1675575.49924588,"3000","89,1739"
"POLYGON ((-71.7920794760711 -43.1579228426068,-71.7912040621144 -43.1387032174572,-71.8280484913323 -43.1377977849964,-71.8285006445058 -43.1475970465212,-71.8284849320914 -43.1476147621768,-71.8278172493808 -43.1485431486183,-71.8271016084975 -43.149113956447,-71.8259404191399 -43.1497556145156,-71.8251038860289 -43.1499196640791,-71.8241081870641 -43.1502576778586,-71.8236990121565 -43.1503777341113,-71.8231052461271 -43.1510068205815,-71.8221722476131 -43.1507775007183,-71.8218795256639 -43.1507055570022,-71.8218735535904 -43.1506608325497,-71.8215142336291 -43.150419029916,-71.82144528324 -43.1489489097981,-71.821213910237 -43.1487743169857,-71.8210798097334 -43.1487025834091,-71.8205131847135 -43.1484068284799,-71.8202695953653 -43.1482321641651,-71.8188813496839 -43.1472112770805,-71.8183829479172 -43.1465402497013,-71.817817313448 -43.1459093201665,-71.8174823299621 -43.1457032697774,-71.8172813577986 -43.1455733836326,-71.8166661342541 -43.1451970997061,-71.8161715294944 -43.1453213986699,-71.8150781661165 -43.1456770750815,-71.8138377556112 -43.1462469931331,-71.8126460231374 -43.1468661054062,-71.8102444469601 -43.1479613042003,-71.8097425930733 -43.1484385612609,-71.8090332457793 -43.1489154392407,-71.8084394523802 -43.1495310317883,-71.8079133443514 -43.1499367680308,-71.8072952975194 -43.1504718974588,-71.8064085837287 -43.1510691296196,-71.8061447137343 -43.1515423261182,-71.8058378605273 -43.1520734725954,-71.8055860253099 -43.152586859296,-71.8054012434681 -43.153113813111,-71.8052109415868 -43.1534664664357,-71.8047827393163 -43.1537963506813,-71.8040560067181 -43.1539604361734,-71.8035250049394 -43.153959536614,-71.8029271291806 -43.1539048557842,-71.802164286229 -43.1539035768428,-71.8016141875538 -43.1541617594259,-71.801374927364 -43.1545501010864,-71.8012695044171 -43.1550636916696,-71.8009003880915 -43.1559611668891,-71.8004046729732 -43.1563892404582,-71.7994507947494 -43.1569415727261,-71.7987296605614 -43.1572352205184,-71.7979476231291 -43.1575019024515,-71.7974532608269 -43.1575099811072,-71.7967210819774 -43.1574282845544,-71.7962396583135 -43.1572263843994,-71.7953061287091 -43.1571397700761,-71.7946165674821 -43.1571072851499,-71.7937617628814 -43.157226415172,-71.7933953527155 -43.1572882560434,-71.7922524109282 -43.1577866289548,-71.7920794760711 -43.1579228426068))","90,1739",4324448.46324651,"3000","90,1739"
"POLYGON ((-71.7594218801325 -43.1664871799065,-71.7555709096593 -43.1665800644555,-71.7543579353963 -43.1395968002371,-71.7912040621144 -43.1387032174572,-71.7920794760711 -43.1579228426068,-71.7914996779188 -43.1583795193587,-71.790350123243 -43.1589984480557,-71.7895425457228 -43.1595689146216,-71.7889737833286 -43.1599074398226,-71.7885688166497 -43.1605232888456,-71.7882805886572 -43.160924888198,-71.7879484700529 -43.1616659789758,-71.7877084756866 -43.1622150503265,-71.7871881252942 -43.1626654098187,-71.7862862429461 -43.1639997061761,-71.7859780132584 -43.1648569493344,-71.7858132829102 -43.1658471420982,-71.7800245826226 -43.1659880487006,-71.779937339454 -43.1659625019642,-71.7778273754836 -43.1653909927928,-71.7772483660094 -43.1651709248439,-71.7768394026101 -43.1651612089894,-71.7755573048684 -43.1652346227537,-71.7751299679866 -43.165260597724,-71.7744804546601 -43.1659295693693,-71.7742850358861 -43.1661274700669,-71.7684927823304 -43.1662678802578,-71.7684425516177 -43.1661990102249,-71.7666376838317 -43.1656993262589,-71.7644557740861 -43.1648459377415,-71.7642361252149 -43.1648276468793,-71.7634800685854 -43.1645982230885,-71.7630773324072 -43.1645750189217,-71.7609713307834 -43.1646242735703,-71.7605257834309 -43.1646144147427,-71.7601404202249 -43.1648191171495,-71.7597102573253 -43.1655598825898,-71.7594218801325 -43.1664871799065))","91,1739",8548749.65470023,"3000","91,1739"
"POLYGON ((-71.7555709096593 -43.1665800644555,-71.7187069296078 -43.1674626231174,-71.7175101334504 -43.1404785318387,-71.7543579353963 -43.1395968002371,-71.7555709096593 -43.1665800644555))","92,1739",8980121.68752589,"3000","92,1739"
"POLYGON ((-71.7187069296078 -43.1674626231174,-71.6818412939002 -43.168333318029,-71.6806606785554 -43.1413484107846,-71.7175101334504 -43.1404785318387,-71.7187069296078 -43.1674626231174))","93,1739",8980412.80749655,"3000","93,1739"
"POLYGON ((-71.6818412939002 -43.168333318029,-71.6449740248579 -43.1691921477302,-71.6438095929967 -43.142206435617,-71.6806606785554 -43.1413484107846,-71.6818412939002 -43.168333318029))","94,1739",8980699.98787852,"3000","94,1739"
"POLYGON ((-71.6449740248579 -43.1691921477302,-71.6081051448087 -43.1700391107808,-71.6069568990654 -43.1430526048978,-71.6438095929967 -43.142206435617,-71.6449740248579 -43.1691921477302))","95,1739",8980983.22817919,"3000","95,1739"
"POLYGON ((-71.6081051448087 -43.1700391107808,-71.5712346760865 -43.1708742057601,-71.5701026190594 -43.1438869172087,-71.6069568990654 -43.1430526048978,-71.6081051448087 -43.1700391107808))","96,1739",8981262.52788589,"3000","96,1739"
"POLYGON ((-71.5712346760865 -43.1708742057601,-71.5343626410315 -43.1716974312674,-71.5332467752822 -43.1447093711512,-71.5701026190594 -43.1438869172087,-71.5712346760865 -43.1708742057601))","97,1739",8981537.88652165,"3000","97,1739"
"POLYGON ((-71.5343626410315 -43.1716974312674,-71.4974890619895 -43.1725087859219,-71.4963893900435 -43.1455199653466,-71.5332467752822 -43.1447093711512,-71.5343626410315 -43.1716974312674))","98,1739",8981809.30360469,"3000","98,1739"
"POLYGON ((-71.4974890619895 -43.1725087859219,-71.4606139613127 -43.1733082683623,-71.4595304856589 -43.1463186984358,-71.4963893900435 -43.1455199653466,-71.4974890619895 -43.1725087859219))","99,1739",8982076.77864974,"3000","99,1739"
"POLYGON ((-71.4606139613127 -43.1733082683623,-71.4237373613588 -43.1740958772474,-71.4226700844498 -43.1471055690797,-71.4595304856589 -43.1463186984358,-71.4606139613127 -43.1733082683623))","100,1739",8982340.31120381,"3000","100,1739"
"POLYGON ((-71.4237373613588 -43.1740958772474,-71.3868592844914 -43.1748716112555,-71.3858082087435 -43.1478805759588,-71.4226700844498 -43.1471055690797,-71.4237373613588 -43.1740958772474))","101,1739",8982599.90079032,"3000","101,1739"
"POLYGON ((-71.3868592844914 -43.1748716112555,-71.3499797530799 -43.1756354690852,-71.3489448808727 -43.1486437177736,-71.3858082087435 -43.1478805759588,-71.3868592844914 -43.1748716112555))","102,1739",8982855.54696103,"3000","102,1739"
"POLYGON ((-71.3499797530799 -43.1756354690852,-71.3130987894992 -43.1763874494545,-71.3120801231758 -43.1493949932443,-71.3489448808727 -43.1486437177736,-71.3499797530799 -43.1756354690852))","103,1739",8983107.24927382,"3000","103,1739"
"POLYGON ((-71.2762128378532 -43.1770312414302,-71.2752139579967 -43.1501344011107,-71.3120801231758 -43.1493949932443,-71.3130987894992 -43.1763874494545,-71.2789835537683 -43.1770724359117,-71.2762128378532 -43.1770312414302))","104,1739",8982152.64696806,"3000","104,1739"
"POLYGON ((-71.2392822145154 -43.1764757739698,-71.2383464076848 -43.1508619401329,-71.2752139579967 -43.1501344011107,-71.2762128378532 -43.1770312414302,-71.2392822145154 -43.1764757739698))","105,1739",8737937.99794959,"3000","105,1739"
"POLYGON ((-71.2308063787371 -43.1510092652282,-71.2383464076848 -43.1508619401329,-71.2392822145154 -43.1764757739698,-71.2243258736941 -43.1762474359305,-71.2308063787371 -43.1510092652282))","106,1739",2580136.3616511,"3000","106,1739"
"POLYGON ((-71.8644812831916 -43.1281036494169,-71.8636314508364 -43.1098996305154,-71.8916248747334 -43.1091950691079,-71.8912272201721 -43.1099272320496,-71.8908355021294 -43.1107087623555,-71.8907370749778 -43.1112270097147,-71.8905834634237 -43.1118479088002,-71.8904479450403 -43.1126297091212,-71.8905489053368 -43.1141534197316,-71.8903405616064 -43.1146670254263,-71.890204952651 -43.1154711963362,-71.8896351953668 -43.1168959877269,-71.8890777405016 -43.1182313709108,-71.8886008000716 -43.1189368557736,-71.8886594225311 -43.1202103303301,-71.8885420871343 -43.1210279193689,-71.8888172869696 -43.1239726711799,-71.8880698501639 -43.1257591894207,-71.8878073150482 -43.1259197581124,-71.8866775611366 -43.1265933029484,-71.8863717814266 -43.127017489764,-71.8833531406031 -43.1265184766521,-71.8827674483434 -43.1265759784446,-71.881663097899 -43.126686581761,-71.8809667589218 -43.1271594663913,-71.8793362322026 -43.1280871426502,-71.8786525537874 -43.1283142435752,-71.8773772004938 -43.1285184424301,-71.8767371244343 -43.1282943475151,-71.876511672597 -43.1281421855453,-71.8758825416902 -43.1285435946899,-71.875156153568 -43.1287573142088,-71.8744664949312 -43.1289397715517,-71.8736853685149 -43.1290461015687,-71.8712696906136 -43.1290433948473,-71.870812083973 -43.1290607716613,-71.8698421330084 -43.1290597112979,-71.8691775235147 -43.1289025615745,-71.8684765426296 -43.1286649593558,-71.8669521661611 -43.1283280637282,-71.8660984614352 -43.128193010761,-71.8654338440016 -43.1280403491359,-71.8644812831916 -43.1281036494169))","88,1740",4205563.56807603,"3000","88,1740"
