WKT,id,area_m2,cell_size_m,grid_id
"POLYGON ((-71.7438764512567 -43.1801201276764,-71.7436860000311 -43.1758700480588,-71.755862461289 -43.1755771788364,-71.7555449874637 -43.1768552842666,-71.7542209013666 -43.1797388647796,-71.7438764512567 -43.1801201276764))","276,5215",428315.854977952,"1000","276,5215"
"POLYGON ((-71.7315928210641 -43.1805716459365,-71.7313962071853 -43.1761643262466,-71.7436860000311 -43.1758700480588,-71.7438764512567 -43.1801201276764,-71.7315928210641 -43.1805716459365))","277,5215",480194.338659237,"1000","277,5215"
"POLYGON ((-71.7193038828928 -43.1809079159102,-71.7191062294503 -43.1764572858833,-71.7313962071853 -43.1761643262466,-71.7315928210641 -43.1805716459365,-71.7255025632073 -43.1807950201895,-71.7193038828928 -43.1809079159102))","278,5215",494451.714464158,"1000","278,5215"
"POLYGON ((-71.7070097900122 -43.1811308353106,-71.7068160676529 -43.1767489269141,-71.7191062294503 -43.1764572858833,-71.7193038828928 -43.1809079159102,-71.7070097900122 -43.1811308353106))","279,5215",489909.33298225,"1000","279,5215"
"POLYGON ((-71.6947155416063 -43.1813524395588,-71.6945257226204 -43.1770392492848,-71.7068160676529 -43.1767489269141,-71.7070097900122 -43.1811308353106,-71.6947155416063 -43.1813524395588))","280,5215",482286.35356012,"1000","280,5215"
"POLYGON ((-71.6824211385014 -43.1815727286085,-71.6822351951799 -43.1773282529413,-71.6945257226204 -43.1770392492848,-71.6947155416063 -43.1813524395588,-71.6824211385014 -43.1815727286085))","281,5215",474663.752414035,"1000","281,5215"
"POLYGON ((-71.670126581524 -43.1817917024137,-71.6699444861586 -43.1776159378297,-71.6822351951799 -43.1773282529413,-71.6824211385014 -43.1815727286085,-71.670126581524 -43.1817917024137))","282,5215",467041.530479323,"1000","282,5215"
"POLYGON ((-71.6578318715008 -43.1820093609285,-71.6576535963839 -43.1779023038964,-71.6699444861586 -43.1776159378297,-71.670126581524 -43.1817917024137,-71.6578318715008 -43.1820093609285))","283,5215",459419.688691389,"1000","283,5215"
"POLYGON ((-71.6455243277358 -43.1819322116336,-71.6453625266831 -43.1781873510879,-71.6576535963839 -43.1779023038964,-71.6578318715008 -43.1820093609285,-71.6555817004373 -43.1820490539851,-71.6455243277358 -43.1819322116336))","284,5215",438498.580521282,"1000","284,5215"
"POLYGON ((-71.6332139226741 -43.1817879948296,-71.6330712778839 -43.1784710793513,-71.6453625266831 -43.1781873510879,-71.6455243277358 -43.1819322116336,-71.6332139226741 -43.1817879948296))","285,5215",391693.027952859,"1000","285,5215"
